time,value
1638097200,469.671936
1638100800,1675.936309
1638104400,8226.838773
1638108000,7862.793248
1638111600,2169.823374
1638115200,6796.281366
1638118800,13642.086604
1638122400,1505.915259
1638126000,1048.41815
1638129600,23305.301285
1638133200,15688.183072
1638136800,1357.778626
1638140400,7867.490572
1638144000,11103.757552
1638147600,7486.967268
1638151200,4371.898348
1638154800,337.641825
1638158400,495.397439
1638162000,3013.09136
1638165600,12166.745154
1638169200,1009.324702
1638172800,108.154443
1638176400,2318.403538
1638180000,1332.804757
1638183600,602.397486
1638187200,13258.559638
1638190800,747.191155
1638194400,2668.290855
1638198000,2078.975832
1638201600,21563.110534
1638205200,1032.102667
1638208800,1023.571018
1638212400,1545.126937
1638216000,15023.142755
1638219600,5154.17129
1638223200,1421.411196
1638226800,3670.58981
1638230400,1604.48085
1638234000,694.992549
1638237600,2695.28208
1638241200,4407.115396
1638244800,836.690576
1638248400,6994.848267
1638252000,803.172432
1638255600,528.343289
1638259200,21739.074365
1638262800,398.552653
1638266400,803.325025
1638270000,687.154983
1638273600,1979.364825
1638277200,3809.088797
1638280800,100922.438908
1638284400,3888.451194
1638288000,2328.494649
1638291600,2031.196643
1638295200,1844.393424
1638298800,2993.02203
1638302400,1616.360814
1638306000,4652.491352
1638309600,10250.16824
1638313200,10493.468957
1638316800,12874.708639
1638320400,7621.756237
1638324000,44338.169345
1638327600,4113.494649
1638331200,2194.733844
1638334800,1699.999267
1638338400,6752.618909
1638342000,4892.33127
1638345600,559.19179
1638349200,1215.71476
1638352800,10340.440784
1638356400,6159.698958
1638360000,2280.535061
1638363600,1233.178957
1638367200,29983.135407
1638370800,2496.551532
1638374400,2087.17509
1638378000,1154.160019
1638381600,1362.907365
1638385200,7127.299507
1638388800,1330.077474
1638392400,1132.285886
1638396000,3263.146108
1638399600,1207.892986
1638403200,18396.67532
1638406800,6212.527414
1638410400,8232.22083
1638414000,2076.837465
1638417600,81149.616947
1638421200,1462.239478
1638424800,17909.707382
1638428400,3538.862647
1638432000,21993.339889
1638435600,6406.372782
1638439200,2191.569281
1638442800,17536.579255
1638446400,2632.309269
1638450000,1773.877695
1638453600,85752.422902
1638457200,1800.602087
1638460800,2196.242781
1638464400,440.585776
1638468000,422.352524
1638471600,5533.376475
1638475200,2361.381714
1638478800,2444.236271
1638482400,3669.37785
1638486000,3616.771294
1638489600,2572.494345
1638493200,1711.331069
1638496800,15039.459714
1638500400,1607.478479
1638504000,957.156658
1638507600,621.702099
1638511200,6362.230388
1638514800,30648.072079
1638518400,1931.680068
1638522000,1931.218735
1638525600,3266.40328
1638529200,3066.90317
1638532800,3287.020647
1638536400,53141.971919
1638540000,1422.812097
1638543600,6490.340051
1638547200,3826.780366
1638550800,4539.171224
1638554400,3448.05502
1638558000,1241.810577
1638561600,4446.405724
1638565200,1779.237443
1638568800,1152.593913
1638572400,1388.674442
1638576000,1141.995578
1638579600,1922.043114
1638583200,1108.467143
1638586800,386.558406
1638590400,129997.246506
1638594000,5897.230049
1638597600,1693.900448
1638601200,4309.428487
1638604800,1513.446964
1638608400,2355.077117
1638612000,8022.430811
1638615600,4088.345341
1638619200,620.539822
1638622800,923.980174
1638626400,1228.280973
1638630000,4066.123334
1638633600,1518.416837
1638637200,322.789196
1638640800,2280.861793
1638644400,1797.057371
1638648000,4257.65622
1638651600,2203.553371
1638655200,7182.650391
1638658800,2928.679102
1638662400,4579.180366
1638666000,1296.342168
1638669600,2431.539293
1638673200,10679.979146
1638676800,6902.764469
1638680400,2082.879906
1638684000,1284.3465
1638687600,1093.8076
1638691200,1191.170243
1638694800,293.770057
1638698400,2981.408422
1638702000,938.168214
1638705600,1925.213853
1638709200,1693.79293
1638712800,1752.140223
1638716400,4500.253185
1638720000,3663.472547
1638723600,441.343178
1638727200,732.32512
1638730800,2960.625171
1638734400,863.710086
1638738000,865.357726
1638741600,1120.669898
1638745200,579.932099
1638748800,1220.737648
1638752400,3294.695591
1638756000,556.970447
1638759600,1323.656246
1638763200,19213.648517
1638766800,118207.571274
1638770400,1146.315101
1638774000,3343.935679
1638777600,1848.310243
1638781200,283.763886
1638784800,3110.140354
1638788400,663.255663
1638792000,750.20829
1638795600,1585.911595
1638799200,530.149994
1638802800,958.481836
1638806400,849.31866
1638810000,1986.705294
1638813600,495.297806
1638817200,1673.021797
1638820800,2853032.639736
1638824400,663.140635
1638828000,5147.002504
1638831600,535.970218
1638835200,2812.823499
1638838800,267.388649
1638842400,1231.954526
1638846000,1667.853799
1638849600,561.956883
1638853200,9057238.630987
1638856800,110.328747
1638860400,2913.879675
1638864000,783.94023
1638867600,759.102363
1638871200,1296.575948
1638874800,426.266279
1638878400,972.339555
1638882000,1075.42974
1638885600,1336.433887
1638889200,937.855926
1638892800,2861.520229
1638896400,2675.455748
1638900000,876.875617
1638903600,2042.135432
1638907200,1271.336851
1638910800,2243.361846
1638914400,27791.140001
1638918000,12158.4579
1638921600,917.550478
1638925200,2664.170096
1638928800,18785.101818
1638932400,999.511196
1638936000,379.368841
1638939600,1142.476954
1638943200,5426.09487
1638946800,1246.863973
1638950400,28199.074958
1638954000,243.280575
1638957600,362.087804
1638961200,359.453885
1638964800,742.590603
1638968400,476.310268
1638972000,4128.290951
1638975600,2744.906289
1638979200,4166.386478
1638982800,818.519971
1638986400,968.440357
1638990000,1880.717837
1638993600,2524.717115
1638997200,1078.037674
1639000800,842539.10573
1639004400,1589.654957
1639008000,1596.945114
1639011600,175.240691
1639015200,1909.201983
1639018800,2833.467615
1639022400,1282.496416
1639026000,5881.483312
1639029600,6070.104524
1639033200,2009.385726
1639036800,1347.383027
1639040400,5698.856186
1639044000,1314.427076
1639047600,1510.992287
1639051200,52255.94609
1639054800,3669.734811
1639058400,7716.776734
1639062000,2373.405435
1639065600,2274.502337
1639069200,2000.522429
1639072800,2492.709079
1639076400,360634.590817
1639080000,3958.770422
1639083600,3186.836857
1639087200,1468.873098
1639090800,429.2548
1639094400,600.275181
1639098000,26191.246659
1639101600,200647.715766
1639105200,2144.55033
1639108800,21217.507103
1639112400,734.263601
1639116000,85.252504
1639119600,222.582348
1639123200,751.201638
1639126800,602.78652
1639130400,875.941207
1639134000,1883.223782
1639137600,1107.406637
1639141200,816.125049
1639144800,13517.877353
1639148400,3673.789371
1639152000,2573.03221
1639155600,986.935271
1639159200,83705.935194
1639162800,859.587535
1639166400,414.398996
1639170000,1592.341553
1639173600,1035.688326
1639177200,2413.00412
1639180800,711.506226
1639184400,28620.299289
1639188000,126.463229
1639191600,1936.263361
1639195200,366.58468
1639198800,1002697.204706
1639202400,13678.031332
1639206000,2115.252946
1639209600,88613.876324
1639213200,166.905653
1639216800,4322.336783
1639220400,9916.941728
1639224000,2305.486179
1639227600,862.467039
1639231200,931.331108
1639234800,430.200455
1639238400,2894.801601
1639242000,8223.060237
1639245600,2291.196804
1639249200,1750.863941
1639252800,2078.866918
1639256400,1731.797911
1639260000,21817.321441
1639263600,111.207754
1639267200,4042.575064
1639270800,1036.464472
1639274400,219.510265
1639278000,173.620817
1639281600,19236.157521
1639285200,272.025406
1639288800,187.097292
1639292400,193.06452
1639296000,2383.881311
1639299600,3108.99611
1639303200,1655.92592
1639306800,629.747096
1639310400,264.282983
1639314000,25973.735863
1639317600,5936.703102
1639321200,739.185666
1639324800,8532.744422
1639328400,805.932942
1639332000,857.303357
1639335600,54911.039924
1639339200,18857.325035
1639342800,542.009365
1639346400,339.046189
1639350000,2817.205336
1639353600,1041.378377
1639357200,592.810545
1639360800,522.878636
1639364400,736.377619
1639368000,1956.958815
1639371600,4078.250027
1639375200,278.246771
1639378800,222.021934
1639382400,641.903872
1639386000,790.997132
1639389600,748.330854
1639393200,5360.997359
1639396800,622.611683
1639400400,5266.900421
1639404000,631.221898
1639407600,11625.43042
1639411200,586.804263
1639414800,1446.355366
1639418400,14675.752781
1639422000,5412.280569
1639425600,38325.042302
1639429200,5593.320976
1639432800,6241.02897
1639436400,8498.724518
1639440000,3232.525094
1639443600,626.691285
1639447200,5180.786169
1639450800,5863.869558
1639454400,2407.656269
1639458000,6261.988139
1639461600,1955.544368
1639465200,593.542194
1639468800,6494.328958
1639472400,18570.550632
1639476000,2806.309109
1639479600,3801.43395
1639483200,1127.235949
1639486800,18085.443193
1639490400,3302.756124
1639504800,864.826379
1639508400,8985.476172
1639512000,306895.383428
1639515600,1750.542443
1639519200,1873.647113
1639522800,244.871537
1639526400,1886.815663
1639530000,1603.970713
1639533600,889.790418
1639537200,344.560255
1639540800,2386.776517
1639544400,8529.894373
1639548000,52546.439539
1639551600,70251.719479
1639555200,125.626897
1639558800,1519.514416
1639562400,12123.40364
1639566000,33319.990549
1639569600,1045.580304
